laag	vaknr	vaknaam	vakafkorting	nr	periode	leerstofomschrijving	weging VD	afname	afwijkende hulpmiddelen / bijzonderheden	duur	SE?	weging SE	herkans-baar?	verplichte SE-domeinen
4H	45	Maatschappijleer	0	7	0	0	0	0	0	0	0	0	0	0
5H	45	Maatschappijleer	MA	1	0	0	0	0	0	0	0	0	0	0
5H	45	Maatschappijleer	MA	2	0	0	0	0	0	0	0	0	0	0
5H	45	Maatschappijleer	MA	3	0	0	0	0	0	0	0	0	0	0
5H	45	Maatschappijleer	MA	4	0	0	0	0	0	0	0	0	0	0
5H	45	Maatschappijleer	MA	5	0	0	0	0	0	0	0	0	0	0
5H	45	Maatschappijleer	MA	6	0	0	0	0	0	0	0	0	0	0
5H	45	Maatschappijleer	0	7	0	0	0	0	0	0	0	0	0	0
4A	45	Maatschappijleer	MA	1	0	0	0	0	0	0	0	0	0	0
4A	45	Maatschappijleer	MA	2	0	0	0	0	0	0	0	0	0	0
4A	45	Maatschappijleer	MA	3	0	0	0	0	0	0	0	0	0	0
4A	45	Maatschappijleer	MA	4	0	0	0	0	0	0	0	0	0	0
4A	45	Maatschappijleer	MA	5	0	0	0	0	0	0	0	0	0	0
4A	45	Maatschappijleer	MA	6	0	0	0	0	0	0	0	0	0	0
4A	45	Maatschappijleer	0	7	0	0	0	0	0	0	0	0	0	0
5A	45	Maatschappijleer	MA	1	1	Thema: Wat is Maatschappijleer? Thema: Rechtsstaat	1	po	0	0	Ja	1	Nee	A, B1, B2, B3
5A	45	Maatschappijleer	MA	2	2	Thema: Parlementaire Democratie	1	po	0	0	Ja	1	Nee	C1, C2, C3, A
5A	45	Maatschappijleer	MA	3	2	Thema: Parlementaire Democratie	1	tt	Woordenboek niet toegestaan	100	Ja	1	Ja	C1, C2, C3
5A	45	Maatschappijleer	MA	4	3	Thema: Verzorgingsstaat	1	po	0	0	Ja	1	Nee	D1, D2, D3, D4, A1
5A	45	Maatschappijleer	MA	5	3	Thema: Verzorgingsstaat	1	tt	Woordenboek niet toegestaan	100	Ja	1	Ja	D1, D2, D3, D4
5A	45	Maatschappijleer	MA	6	4	Thema: Pluriforme Samenleving	1	po	0	0	Ja	1	Nee	E1, E2, E3, E4, A2
5A	45	Maatschappijleer	0	7	0	0	0	0	0	0	0	0	0	0
6A	45	Maatschappijleer	MA	1	0	0	0	0	0	0	0	0	0	0
6A	45	Maatschappijleer	MA	2	0	0	0	0	0	0	0	0	0	0
6A	45	Maatschappijleer	MA	3	0	0	0	0	0	0	0	0	0	0
6A	45	Maatschappijleer	MA	4	0	0	0	0	0	0	0	0	0	0
6A	45	Maatschappijleer	MA	5	0	0	0	0	0	0	0	0	0	0
6A	45	Maatschappijleer	MA	6	0	0	0	0	0	0	0	0	0	0
6A	45	Maatschappijleer	0	7	0	0	0	0	0	0	0	0	0	0
4M	150	Aardrijkskunde	AK	1	1	"Bronnen van Energie, Arm en Rijk, Grenzen en Identiteit
"	0	po	0	0	Ja	2	Nee	AK/K/1, AK/K/2, AK/K/5, AK/K/7, AK/K/9, AK/V,2, AK/V/4, AK/V/6, AK/V/7, AK/V/8
4M	150	Aardrijkskunde	AK	2	1	Water	0	tt	0	100	Ja	5	Ja	AK/K/3, AK/K/6, AK/V/3 
4M	150	Aardrijkskunde	AK	3	2	Bevolking en ruimte	0	tt	0	100	Ja	5	Ja	AK/K/3, AK/K/8, AK/V/5
4M	150	Aardrijkskunde	AK	4	3	Weer en klimaat	0	tt	0	100	Ja	5	Ja	AK/K/3, AK/K/4, AK/V/1
4M	150	Aardrijkskunde	AK	5	3	Weerbericht	0	po	0	0	Ja	3	Nee	AK/K/3, AK/K/4, AK/V/1
4M	150	Aardrijkskunde	AK	6	0	0	0	0	0	0	0	0	0	0
4M	150	Aardrijkskunde	0	7	0	0	0	0	0	0	0	0	0	0
4H	150	Aardrijkskunde	AK	1	1	PW Katern Overleven in Europa H1en 2	2	tt	0	50	Nee	0	Nee	0
4H	150	Aardrijkskunde	AK	2	1	Overleven in Europa	3	tt	0	50	Ja	1	Ja	B3, C1
4H	150	Aardrijkskunde	AK	3	2	Opdracht met betrekking tot de eigen omgeving in combinatie met aardrijkskundige vaardigheden	3	po	0	0	Ja	1	Nee	A1, A2, E2, F
4H	150	Aardrijkskunde	AK	4	2	PW Arm en Rijk H1en 2	2	tt	0	50	Nee	0	Nee	0
4H	150	Aardrijkskunde	AK	5	3	Arm en Rijk	3	tt	0	100	Ja	1	Ja	B1, B2
4H	150	Aardrijkskunde	AK	6	4	PW Systeem Aarde	2	tt	0	50	Nee	0	Nee	0
4H	150	Aardrijkskunde	0	7	0	0	0	0	0	0	0	0	0	0
5H	150	Aardrijkskunde	AK	1	1	Katern Systeem Aarde	0	tt	0	100	Ja	2	Ja	C2, C3
5H	150	Aardrijkskunde	AK	2	2	Katern Wonen in Nederland	0	tt	0	100	Ja	2	Ja	E1
5H	150	Aardrijkskunde	AK	3	3	Katern Brazilië	0	tt	0	100	Ja	2	Ja	D1, D2
5H	150	Aardrijkskunde	AK	4	0	0	0	0	0	0	0	0	0	0
5H	150	Aardrijkskunde	AK	5	0	0	0	0	0	0	0	0	0	0
5H	150	Aardrijkskunde	AK	6	0	0	0	0	0	0	0	0	0	0
5H	150	Aardrijkskunde	0	7	0	0	0	0	0	0	0	0	0	0
4A	150	Aardrijkskunde	AK	1	1	Multidisciplinaire opdracht	1	po	0	0	Nee	0	Nee	0
4A	150	Aardrijkskunde	AK	2	1	PW Globalisering H1	2	tt	0	50	Nee	0	Nee	0
4A	150	Aardrijkskunde	AK	3	2	PW Globalisering	2	tt	0	50	Nee	0	Nee	0
4A	150	Aardrijkskunde	AK	4	3	Onderzoek m.b.t. een sociaal of fysisch geografisch onderwerp, gericht op de eigen omgeving	3	po	0	0	Ja	1	Nee	A1, A2, E2, F
4A	150	Aardrijkskunde	AK	5	4	Proefwerk Arm en Rijk	2	tt	0	50	Nee	0	Nee	0
4A	150	Aardrijkskunde	AK	6	4	Katern Arm en Rijk	3	tt	0	100	Ja	1	Ja	A1, B2
4A	150	Aardrijkskunde	0	7	0	0	0	0	0	0	0	0	0	0
5A	150	Aardrijkskunde	AK	1	1	Multidisciplinaire opdracht	1	po	0	0	Nee	0	0	0
5A	150	Aardrijkskunde	AK	2	1	PW Systeem Aarde	2	tt	0	50	Nee	0	0	0
5A	150	Aardrijkskunde	AK	3	2	Katern Systeem Aarde	3	tt	0	100	Ja	3	Ja	C1
5A	150	Aardrijkskunde	AK	4	3	Geografische Vaardigheden gericht op katern Klimaatvraagstukken	3	tt	0	100	Ja	1	Ja	A1, C2
5A	150	Aardrijkskunde	AK	5	3	Opdracht en presentatie aan de hand van een onderzoek m.b.t. een fysisch geografisch onderdeel van klimaatvraagstukken in de eigen omgeving	3	po	0	0	Ja	1	Nee	C2, A2, E2
5A	150	Aardrijkskunde	AK	6	4	Katern Wonen in Nederland (H1 en H2)	3	tt	0	100	Ja	2	Ja	E1
5A	150	Aardrijkskunde	0	7	0	0	0	0	0	0	0	0	0	0
6A	150	Aardrijkskunde	AK	1	1	Katern Wonen in Nederland en Globalisering	0	tt	0	100	Ja	3	Ja	E1, B1
6A	150	Aardrijkskunde	AK	2	2	Katern Zuid-Amerika	0	tt	0	100	Ja	4	Ja	D1, D2
6A	150	Aardrijkskunde	AK	3	3	Examenstof: Globalisering, Systeem Aarde, Zuid-Amerika, Wonen in Nederland en vaardigheden	0	tt	0	100	Ja	4	Ja	A1, B1, C1, D1, E1
6A	150	Aardrijkskunde	AK	4	0	0	0	0	0	0	0	0	0	0
6A	150	Aardrijkskunde	AK	5	0	0	0	0	0	0	0	0	0	0
6A	150	Aardrijkskunde	AK	6	0	0	0	0	0	0	0	0	0	0
6A	150	Aardrijkskunde	0	7	0	0	0	0	0	0	0	0	0	0
4M	81	Wiskunde	WI	1	1	Hoofdstuk 1: Grafieken en vergelijkingen, Hoofdstuk 2: Vlakke meetkunde	0	tt	0	100	Ja	3	Ja	WI/K/2, WI/K/3, WI/V/2   
4M	81	Wiskunde	WI	2	1	Hoofdstuk 3: Informatieverwerking	0	tt	0	50	Ja	2	Ja	WI/K/2, WI/K/7, WI/V/3
4M	81	Wiskunde	WI	3	1	opdracht over oriëntatie op leren en werken bij een zelfgekozen sector	0	po	0	0	Ja	2	Nee	WI/K/1, WI/K/2, WI/V/3, WI/K/8
4M	81	Wiskunde	WI	4	2	Hoofdstuk 4: Machtsverbanden, Hoofdstuk 5: Rekenen, Hoofdstuk 6: Goniometrie	0	tt	0	100	Ja	3	Ja	WI/K/2, WI/K/3, WI/V/2, Rekenen
4M	81	Wiskunde	WI	5	3	Hoofdstuk 7: Exponentiële formules, Hoofdstuk 8: Ruimtemeetkunde	0	tt	0	100	Ja	2	Ja	WI/K/2, WI/K/3, WI/V/2
4M	81	Wiskunde	WI	6	0	0	0	0	0	0	0	0	0	0
4M	81	Wiskunde	0	7	0	0	0	0	0	0	0	0	0	0
4H	81	Wiskunde	WI	1	0	0	0	0	0	0	0	0	0	0
4H	81	Wiskunde	WI	2	0	0	0	0	0	0	0	0	0	0
4H	81	Wiskunde	WI	3	0	0	0	0	0	0	0	0	0	0
4H	81	Wiskunde	WI	4	0	0	0	0	0	0	0	0	0	0
4H	81	Wiskunde	WI	5	0	0	0	0	0	0	0	0	0	0
4H	81	Wiskunde	WI	6	0	0	0	0	0	0	0	0	0	0
4H	81	Wiskunde	0	7	0	0	0	0	0	0	0	0	0	0
5H	81	Wiskunde	WI	1	0	0	0	0	0	0	0	0	0	0
5H	81	Wiskunde	WI	2	0	0	0	0	0	0	0	0	0	0
5H	81	Wiskunde	WI	3	0	0	0	0	0	0	0	0	0	0
5H	81	Wiskunde	WI	4	0	0	0	0	0	0	0	0	0	0
5H	81	Wiskunde	WI	5	0	0	0	0	0	0	0	0	0	0
5H	81	Wiskunde	WI	6	0	0	0	0	0	0	0	0	0	0
5H	81	Wiskunde	0	7	0	0	0	0	0	0	0	0	0	0
4A	81	Wiskunde	WI	1	0	0	0	0	0	0	0	0	0	0
4A	81	Wiskunde	WI	2	0	0	0	0	0	0	0	0	0	0
4A	81	Wiskunde	WI	3	0	0	0	0	0	0	0	0	0	0
4A	81	Wiskunde	WI	4	0	0	0	0	0	0	0	0	0	0
4A	81	Wiskunde	WI	5	0	0	0	0	0	0	0	0	0	0
4A	81	Wiskunde	WI	6	0	0	0	0	0	0	0	0	0	0
4A	81	Wiskunde	0	7	0	0	0	0	0	0	0	0	0	0
5A	81	Wiskunde	WI	1	0	0	0	0	0	0	0	0	0	0
5A	81	Wiskunde	WI	2	0	0	0	0	0	0	0	0	0	0
5A	81	Wiskunde	WI	3	0	0	0	0	0	0	0	0	0	0
5A	81	Wiskunde	WI	4	0	0	0	0	0	0	0	0	0	0
5A	81	Wiskunde	WI	5	0	0	0	0	0	0	0	0	0	0
5A	81	Wiskunde	WI	6	0	0	0	0	0	0	0	0	0	0
5A	81	Wiskunde	0	7	0	0	0	0	0	0	0	0	0	0
6A	81	Wiskunde	WI	1	0	0	0	0	0	0	0	0	0	0
6A	81	Wiskunde	WI	2	0	0	0	0	0	0	0	0	0	0
6A	81	Wiskunde	WI	3	0	0	0	0	0	0	0	0	0	0
6A	81	Wiskunde	WI	4	0	0	0	0	0	0	0	0	0	0
6A	81	Wiskunde	WI	5	0	0	0	0	0	0	0	0	0	0
6A	81	Wiskunde	WI	6	0	0	0	0	0	0	0	0	0	0
6A	81	Wiskunde	0	7	0	0	0	0	0	0	0	0	0	0
4M	101	NaSk 1	NSK1	1	1	Werktuigen (H1 en H6)	2	tt	0	100	Ja	2	Ja	NASK1/K/1, NASK1/K/2, NASK/K/3, NASK1/K/9, NASK1/V/2, NASK1/V/3, NASK1/V/4
4M	101	NaSk 1	NSK1	2	1	Licht (Klas 3, H5) en Beweging (H10)	2	tt	0	100	Ja	2	Ja	NASK1/K/1, NASK1/K/2, NASK1/K/3, NASK1/K/7, NASK1/K/9, NASK/V/1, NASK1/V/3, NASK1/V/4
4M	101	NaSk 1	NSK1	3	2	Elektriciteit en schakelingen (H4 en H9)	2	tt	0	100	Ja	2	Ja	NASK1/K/1, NASK1/K/2, NASK1/K/3, NASK1/K/5, NASK1/V/3, NASK1/V/4
4M	101	NaSk 1	NSK1	4	2	Warmte en Energie (H2 en H3)	2	tt	0	100	Ja	2	Ja	NASK1/K/1, NASK1/K/2, NASK1/K/3, NASK1/K/6, NASK1/K/12, NASK1/V/3, NASK1/V/4
4M	101	NaSk 1	NSK1	5	3	Geluid, stoffen en materialen (H5, H7 en H8)	2	tt	0	100	Ja	2	Ja	NASK1/K/1, NASK1/K/2, NASK1/K/3, NASK1/K/8, NASK1/K/10, NASK1/K/11, NASK1/V/3, NASK1/V/4
4M	101	NaSk 1	NSK1	6	3	Kracht en beweging (H11)	2	tt	0	100	Ja	2	Ja	NASK1/K/1, NASK1/K/2, NASK1/K/3, NASK1/K/9, NASK/V/1, NASK1/V/3, NASK1/V/4
4M	101	NaSk 1	0	7	0	De BINAS VMBO-KGT is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
4H	101	NaSk 1	NSK1	1	0	0	0	0	0	0	0	0	0	0
4H	101	NaSk 1	NSK1	2	0	0	0	0	0	0	0	0	0	0
4H	101	NaSk 1	NSK1	3	0	0	0	0	0	0	0	0	0	0
4H	101	NaSk 1	NSK1	4	0	0	0	0	0	0	0	0	0	0
4H	101	NaSk 1	NSK1	5	0	0	0	0	0	0	0	0	0	0
4H	101	NaSk 1	NSK1	6	0	0	0	0	0	0	0	0	0	0
4H	101	NaSk 1	0	7	0	0	0	0	0	0	0	0	0	0
5H	101	NaSk 1	NSK1	1	0	0	0	0	0	0	0	0	0	0
5H	101	NaSk 1	NSK1	2	0	0	0	0	0	0	0	0	0	0
5H	101	NaSk 1	NSK1	3	0	0	0	0	0	0	0	0	0	0
5H	101	NaSk 1	NSK1	4	0	0	0	0	0	0	0	0	0	0
5H	101	NaSk 1	NSK1	5	0	0	0	0	0	0	0	0	0	0
5H	101	NaSk 1	NSK1	6	0	0	0	0	0	0	0	0	0	0
5H	101	NaSk 1	0	7	0	0	0	0	0	0	0	0	0	0
4A	101	NaSk 1	NSK1	1	0	0	0	0	0	0	0	0	0	0
4A	101	NaSk 1	NSK1	2	0	0	0	0	0	0	0	0	0	0
4A	101	NaSk 1	NSK1	3	0	0	0	0	0	0	0	0	0	0
4A	101	NaSk 1	NSK1	4	0	0	0	0	0	0	0	0	0	0
4A	101	NaSk 1	NSK1	5	0	0	0	0	0	0	0	0	0	0
4A	101	NaSk 1	NSK1	6	0	0	0	0	0	0	0	0	0	0
4A	101	NaSk 1	0	7	0	0	0	0	0	0	0	0	0	0
5A	101	NaSk 1	NSK1	1	0	0	0	0	0	0	0	0	0	0
5A	101	NaSk 1	NSK1	2	0	0	0	0	0	0	0	0	0	0
5A	101	NaSk 1	NSK1	3	0	0	0	0	0	0	0	0	0	0
5A	101	NaSk 1	NSK1	4	0	0	0	0	0	0	0	0	0	0
5A	101	NaSk 1	NSK1	5	0	0	0	0	0	0	0	0	0	0
5A	101	NaSk 1	NSK1	6	0	0	0	0	0	0	0	0	0	0
5A	101	NaSk 1	0	7	0	0	0	0	0	0	0	0	0	0
6A	101	NaSk 1	NSK1	1	0	0	0	0	0	0	0	0	0	0
6A	101	NaSk 1	NSK1	2	0	0	0	0	0	0	0	0	0	0
6A	101	NaSk 1	NSK1	3	0	0	0	0	0	0	0	0	0	0
6A	101	NaSk 1	NSK1	4	0	0	0	0	0	0	0	0	0	0
6A	101	NaSk 1	NSK1	5	0	0	0	0	0	0	0	0	0	0
6A	101	NaSk 1	NSK1	6	0	0	0	0	0	0	0	0	0	0
6A	101	NaSk 1	0	7	0	0	0	0	0	0	0	0	0	0
4M	111	NaSK 2	NSK2	1	1	H1: Stoffen en deeltjes, H4: Mengen en scheiden	2	tt	0	100	Ja	2	Ja	NASK2/K/8, NASK2/K/3, NASK2/V/3
4M	111	NaSK 2	NSK2	2	2	H2: Chemische reacties, H3: Verbrandingen	2	tt	0	100	Ja	2	Ja	NASK2/K/9, NASK2/K/3, NASK2/V/3
4M	111	NaSK 2	NSK2	3	3	H7: Water en reinigen, H8: Materialen, H9: Koolstofchemie	2	tt	0	100	Ja	2	Ja	NASK2/K/4, NASK2/K/9, NASK2/V/3
4M	111	NaSK 2	NSK2	4	3	vaardigheden in de scheikunde (scheikunde kennis H1 t/m H4, H7 t/m H9 & Vaardigheden)	2	po	0	100	Ja	2	Ja	NASK2/K/1, NASK2/K/2, NASK2/K/6, NASK2/V/3
4M	111	NaSK 2	NSK2	5	0	0	0	0	0	0	0	0	0	0
4M	111	NaSK 2	NSK2	6	0	0	0	0	0	0	0	0	0	0
4M	111	NaSK 2	0	7	0	De BINAS VMBO-KGT is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
4H	111	NaSK 2	NSK2	1	0	0	0	0	0	0	0	0	0	0
4H	111	NaSK 2	NSK2	2	0	0	0	0	0	0	0	0	0	0
4H	111	NaSK 2	NSK2	3	0	0	0	0	0	0	0	0	0	0
4H	111	NaSK 2	NSK2	4	0	0	0	0	0	0	0	0	0	0
4H	111	NaSK 2	NSK2	5	0	0	0	0	0	0	0	0	0	0
4H	111	NaSK 2	NSK2	6	0	0	0	0	0	0	0	0	0	0
4H	111	NaSK 2	0	7	0	0	0	0	0	0	0	0	0	0
5H	111	NaSK 2	NSK2	1	0	0	0	0	0	0	0	0	0	0
5H	111	NaSK 2	NSK2	2	0	0	0	0	0	0	0	0	0	0
5H	111	NaSK 2	NSK2	3	0	0	0	0	0	0	0	0	0	0
5H	111	NaSK 2	NSK2	4	0	0	0	0	0	0	0	0	0	0
5H	111	NaSK 2	NSK2	5	0	0	0	0	0	0	0	0	0	0
5H	111	NaSK 2	NSK2	6	0	0	0	0	0	0	0	0	0	0
5H	111	NaSK 2	0	7	0	0	0	0	0	0	0	0	0	0
4A	111	NaSK 2	NSK2	1	0	0	0	0	0	0	0	0	0	0
4A	111	NaSK 2	NSK2	2	0	0	0	0	0	0	0	0	0	0
4A	111	NaSK 2	NSK2	3	0	0	0	0	0	0	0	0	0	0
4A	111	NaSK 2	NSK2	4	0	0	0	0	0	0	0	0	0	0
4A	111	NaSK 2	NSK2	5	0	0	0	0	0	0	0	0	0	0
4A	111	NaSK 2	NSK2	6	0	0	0	0	0	0	0	0	0	0
4A	111	NaSK 2	0	7	0	0	0	0	0	0	0	0	0	0
5A	111	NaSK 2	NSK2	1	0	0	0	0	0	0	0	0	0	0
5A	111	NaSK 2	NSK2	2	0	0	0	0	0	0	0	0	0	0
5A	111	NaSK 2	NSK2	3	0	0	0	0	0	0	0	0	0	0
5A	111	NaSK 2	NSK2	4	0	0	0	0	0	0	0	0	0	0
5A	111	NaSK 2	NSK2	5	0	0	0	0	0	0	0	0	0	0
5A	111	NaSK 2	NSK2	6	0	0	0	0	0	0	0	0	0	0
5A	111	NaSK 2	0	7	0	0	0	0	0	0	0	0	0	0
6A	111	NaSK 2	NSK2	1	0	0	0	0	0	0	0	0	0	0
6A	111	NaSK 2	NSK2	2	0	0	0	0	0	0	0	0	0	0
6A	111	NaSK 2	NSK2	3	0	0	0	0	0	0	0	0	0	0
6A	111	NaSK 2	NSK2	4	0	0	0	0	0	0	0	0	0	0
6A	111	NaSK 2	NSK2	5	0	0	0	0	0	0	0	0	0	0
6A	111	NaSK 2	NSK2	6	0	0	0	0	0	0	0	0	0	0
6A	111	NaSK 2	0	7	0	0	0	0	0	0	0	0	0	0
4M	100	Natuurkunde	NA	1	0	0	0	0	0	0	0	0	0	0
4M	100	Natuurkunde	NA	2	0	0	0	0	0	0	0	0	0	0
4M	100	Natuurkunde	NA	3	0	0	0	0	0	0	0	0	0	0
4M	100	Natuurkunde	NA	4	0	0	0	0	0	0	0	0	0	0
4M	100	Natuurkunde	NA	5	0	0	0	0	0	0	0	0	0	0
4M	100	Natuurkunde	NA	6	0	0	0	0	0	0	0	0	0	0
4M	100	Natuurkunde	0	7	0	0	0	0	0	0	0	0	0	0
4H	100	Natuurkunde	NA	1	1	H3 - Elektriciteit 1	1	tt	0	100	0	0	0	0
4H	100	Natuurkunde	NA	2	1	Automaten	2	po	0	0	Ja	2	Nee	G2, I1, I3
4H	100	Natuurkunde	NA	3	2	H1 en 2  - Bewegen	2	tt	0	100	0	0	0	0
4H	100	Natuurkunde	NA	4	3	H3, 6 en 9 - Elektriciteit en licht	3	tt	0	100	Ja	3	Ja	B3, G1
4H	100	Natuurkunde	NA	5	4	PO mechanica	1	po	0	0	0	0	0	0
4H	100	Natuurkunde	NA	6	4	H7 en 8 - Kracht en beweging	2	tt	0	100	0	0	0	0
4H	100	Natuurkunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
5H	100	Natuurkunde	NA	1	1	H1, H2, H7, H8, H11, H12 - Mechanica	0	tt	0	100	Ja	4	Ja	C, D1
5H	100	Natuurkunde	NA	2	2	Mterialen	0	po	0	0	Ja	2	Nee	D2, I2
5H	100	Natuurkunde	NA	3	3	H5, H10, H14, H15 - Trillen, straling, zonnestelsel	0	tt	0	100	Ja	4	Ja	B2, E1
5H	100	Natuurkunde	NA	4	0	0	0	0	0	0	0	0	0	0
5H	100	Natuurkunde	NA	5	0	0	0	0	0	0	0	0	0	0
5H	100	Natuurkunde	NA	6	0	0	0	0	0	0	0	0	0	0
5H	100	Natuurkunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
4A	100	Natuurkunde	NA	1	1	PO bewegen in grafieken	1	po	0	0	0	0	0	0
4A	100	Natuurkunde	NA	2	1	H1 en 2 - bewegen	2	tt	0	100	0	0	0	0
4A	100	Natuurkunde	NA	3	2	H3 elektriciteit	1	tt	0	100	0	0	0	0
4A	100	Natuurkunde	NA	4	3	H4 en 6 - krachten	2	tt	0	100	0	0	0	0
4A	100	Natuurkunde	NA	5	4	Stoffen en materialen	2	po	0	0	Ja	2	Nee	E1, I1, I3
4A	100	Natuurkunde	NA	6	4	H1,2,4,6,7 - mechanica	3	tt	0	100	0	0	0	0
4A	100	Natuurkunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
5A	100	Natuurkunde	NA	1	1	H8 en 9 - trillingen en golven	2	tt	0	50	0	0	0	0
5A	100	Natuurkunde	NA	2	2	H11 en 12 - elektrische velden en atoomfysica	2	tt	0	100	0	0	0	0
5A	100	Natuurkunde	NA	3	3	modelleren	1	tt	0	50	0	0	0	0
5A	100	Natuurkunde	NA	4	3	Geo- of biofysica	1	po	0	0	Ja	1	Nee	G1, G2
5A	100	Natuurkunde	NA	5	4	H13 en H14 - Straling en kernprocessen	2	tt	0	100	Ja	2	Ja	B2, E3
5A	100	Natuurkunde	NA	6	0	0	0	0	0	0	0	0	0	0
5A	100	Natuurkunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
6A	100	Natuurkunde	NA	1	1	H1, H2, H4, H6, H7, H17 - Mechanica	4	tt	0	100	Ja	4	Ja	C, H, I2
6A	100	Natuurkunde	NA	2	2	H12, H18 H19 - Atoom-, astro- en quantumfysica	3	tt	0	100	Ja	3	Ja	E2, F1
6A	100	Natuurkunde	NA	3	3	H3, H8, H9, H10, H11 - Trillingen en golven, elektrische- en magnetische velden	4	tt	0	100	Ja	4	Ja	B1, D
6A	100	Natuurkunde	NA	4	0	0	0	0	0	0	0	0	0	0
6A	100	Natuurkunde	NA	5	0	0	0	0	0	0	0	0	0	0
6A	100	Natuurkunde	NA	6	0	0	0	0	0	0	0	0	0	0
6A	100	Natuurkunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
4M	110	Scheikunde	SK	1	1	0	0	0	0	0	0	0	0	0
4M	110	Scheikunde	SK	2	2	0	0	0	0	0	0	0	0	0
4M	110	Scheikunde	SK	3	3	0	0	0	0	0	0	0	0	0
4M	110	Scheikunde	SK	4	3	0	0	0	0	0	0	0	0	0
4M	110	Scheikunde	SK	5	0	0	0	0	0	0	0	0	0	0
4M	110	Scheikunde	SK	6	0	0	0	0	0	0	0	0	0	0
4M	110	Scheikunde	0	7	0	0	0	0	0	0	0	0	0	0
4H	110	Scheikunde	SK	1	1	H1 Scheiden en reageren	2	tt	0	100	Nee	0	Nee	0
4H	110	Scheikunde	SK	2	2	H2 en 3 Bouwstenen van stoffen, stoffen en reacties, met basiskennis uit de vorige hoofdstukken	2	tt	0	100	Nee	0	Nee	0
4H	110	Scheikunde	SK	3	3	Schriftelijk rekenen aan reacties	1	tt	0	50	Nee	0	Nee	0
4H	110	Scheikunde	SK	4	3	Proefwerk H4 Moleculaire stoffen, met basiskennis uit de vorige hoofdstukken	2	tt	0	100	Nee	0	Nee	0
4H	110	Scheikunde	SK	5	4	Een scheikundig onderzoek, zouten en zoutoplossingen. H1, H2, H3, H5 	2	po	0	0	Ja	1	Nee	A, D2
4H	110	Scheikunde	SK	6	4	Proefwerk H6 koolstofchemie	2	tt	0	100	Nee	0	Nee	0
4H	110	Scheikunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
5H	110	Scheikunde	SK	1	1	H7, H8, H10 - Zuren, basen, redoxreacties. H1 t/m H5: Basiskennis	0	tt	0	100	Ja	2	Ja	E2, E3, F4
5H	110	Scheikunde	SK	2	2	H9, H13 - Reacties en energie, duurzaam produceren. H1 t/m H5: Basiskennis	0	tt	0	100	Ja	2	Ja	C4, C5, E2, F2, F4, F5, G3, G4, G5
5H	110	Scheikunde	SK	3	3	H11, H12 - Kunststoffen, chemie van het leven. H1 t/m H5: Basiskennis	0	tt	0	100	Ja	2	Ja	D4
5H	110	Scheikunde	SK	4	0	Vaardigheden	0	po	0	0	Ja	1	Nee	A, D2
5H	110	Scheikunde	SK	5	0	0	0	0	0	0	0	0	0	0
5H	110	Scheikunde	SK	6	0	0	0	0	0	0	0	0	0	0
5H	110	Scheikunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
4A	110	Scheikunde	SK	1	1	Schriftelijke overhoring H1 (Scheiden en reageren)	1	tt	0	50	Nee	0	Nee	0
4A	110	Scheikunde	SK	2	1	Proefwerk H1 en H2 (Scheiden en reageren, bouwstenen van stoffen)	2	tt	0	100	Nee	0	Nee	0
4A	110	Scheikunde	SK	3	2	Proefwerk H2 en H3 (Scheiden en reageren, moleculaire stoffen) met basiskennis uit H1	2	tt	0	100	Nee	0	Nee	0
4A	110	Scheikunde	SK	4	3	Schriftelijke overhoring rekenen aan reacties, met basiskennis uit de H1 t/m H3	1	tt	0	50	Nee	0	Nee	0
4A	110	Scheikunde	SK	5	3	H4 en H5 - Zouten en zoutoplossingen	2	po	0	0	Ja	1	Nee	A, D2, E5, G4
4A	110	Scheikunde	SK	6	4	Proefwerk H6 en H7 (koolstofchemie, duurzaamheid), met basiskennis van de vorige hoofdstukken	2	tt	0	100	Nee	0	Nee	0
