laag	vak	nr	per	leerstof	kerndoelen	weging	afname	samen met
2M	DU	4	3	taaltaak	14 - omgaan met informatiebronnen / 15 - informele gesprekken / 12 woordverwerving	2	PO	0
2M	DU	5	3	leestoets wk 15	13- lezen /  14 - omgaan met informatiebronnen	2	toets	0
2M	DU	6	4	MO wk 26	15- informele gesprekken / 16 standaardgesprekken	3	Mondeling	0
3A	DU	1	1	Herhaling vaardigheden (grammatica, schrijven, lezen en luisteren)	Kerndoelen: 17 (schrijven), 13 (lezen en luisteren), 12 (woordverwerving)	2	toets	0
3A	DU	2	2	leesvaardigheid 	Kerndoelen: 12 (Woordverwerving, 13 (lezen), 14 ( omgang met informatiebronnen)	3	toets	0
3A	DU	3	3	Kijk - en luistervaardigheid 	Kerndoelen: 11 (luisteren) en 13 (lezen) 	2	toets	0
3A	DU	4	3	taaltaak PO 	Kerndoelen: 12-18 (taaltaak omvat alle kerndoelen van de onderbouw)	2	PO	0
3A	DU	5	4	Presentatie (gebaseerd op schrijfvaardigheid, spreekvaardigheid en leesvaardigheid ) 	Kerndoelen: 12 -18 (taaltaak omvat alle kerndoelen van de onderbouw) 	3	Mondeling	0
3A	DU	6	4	taaltaak PO 	Kerndoelen: 11,12,13,14,17,18	2	PO	0
3H	DU	1	1	Herhaling vaardigheden (grammatica, schrijven & lezen)	17 (schrijven) , 13 (lezen) 	2	toets	0
3H	DU	2	1	Kijk- & luistertoets	11( luisteren), 13 (lezen) 	2	toets	0
3H	DU	3	2	Leesvaardigheid	13 (lezen) , 14 ( Omgaan met informatiebronnen)	3	toets	0
3H	DU	4	3	Taaldorp	 15 (informele gesprekken), 16 (standaardgesprekken) , 12 (woordverwerving)	3	Mondeling	0
3H	DU	5	3	Naamvallen + toepassen op de toets, schrijfvaardigheid	17( schrijven) 	2	toets	0
3H	DU	6	4	Taaltaak PO	14 (omgaan met informatiebronnen), 13 (lezen en luisteren), 12 (woordverwerving)	2	PO	0
3M	DU	1	1	Herhalen vaardigheden. kapitel 1 & 2 herhaling haben, sein, werden en zw ww, voltooid deelwoord, Volkalwechsel	"kerndoel 13 (lezen); 
kerndoel 17 (schrijven)"	2	toets	0
3M	DU	2	2	leesvaardigheid	"kerndoel 13 (lezen); 
kerndoel 14 (omgaan met informatiebronnen)"	3	toets	0
3M	DU	3	3	naamvallen met schrijven met schrijven / Kerstmarkt / Mayerwerf / start december	kerndoel 17 (schrijven)	2	toets	0
3M	DU	4	3	Taaldorp	"kerndoel 15 (informele gesprekken);
kerndoel 12 (woordverwerving);
kerndoel 16 (standaardgesprekken)"	3	Mondeling	0
3M	DU	5	4	kijk- & luistertoets	"kerndoel 11 (luisteren); 
kerndoel 13 (lezen)"	2	toets	0
3M	DU	6	4	Taaktaak Musik	"kerndoel 14 (omgaan met informatiebronnen);
kerndoel 13 (lezen en luisteren);  
kerndoel 12 (woordverwerving)"	2	PO	0
1A	EC	1	1	0	0	0	0	0
1A	EC	2	0	0	0	0	0	0
1A	EC	3	0	0	0	0	0	0
1A	EC	4	0	0	0	0	0	0
1A	EC	5	0	0	0	0	0	0
1A	EC	6	0	0	0	0	0	0
1HA	EC	1	1	0	0	0	0	0
1HA	EC	2	0	0	0	0	0	0
1HA	EC	3	0	0	0	0	0	0
1HA	EC	4	0	0	0	0	0	0
1HA	EC	5	0	0	0	0	0	0
1HA	EC	6	0	0	0	0	0	0
1MH	EC	1	1	0	0	0	0	0
1MH	EC	2	0	0	0	0	0	0
1MH	EC	3	0	0	0	0	0	0
1MH	EC	4	0	0	0	0	0	0
1MH	EC	5	0	0	0	0	0	0
1MH	EC	6	0	0	0	0	0	0
2A	EC	1	1	0	0	0	0	0
2A	EC	2	0	0	0	0	0	0
2A	EC	3	0	0	0	0	0	0
2A	EC	4	0	0	0	0	0	0
2A	EC	5	0	0	0	0	0	0
2A	EC	6	0	0	0	0	0	0
2H	EC	1	1	0	0	0	0	0
2H	EC	2	0	0	0	0	0	0
2H	EC	3	0	0	0	0	0	0
2H	EC	4	0	0	0	0	0	0
2H	EC	5	0	0	0	0	0	0
2H	EC	6	0	0	0	0	0	0
2M	EC	1	1	0	0	0	0	0
2M	EC	2	0	0	0	0	0	0
2M	EC	3	0	0	0	0	0	0
2M	EC	4	0	0	0	0	0	0
2M	EC	5	0	0	0	0	0	0
2M	EC	6	0	0	0	0	0	0
3A	EC	1	1	"Hoofdstuk 1. Begroten voor iedereen; Hoofdstuk 2. De verdeling van het inkomen"	"Domein E (eco) Ruilen over tijd; Domein H (eco) Welvaart en groei"	2	toets	0
3A	EC	2	2	Hoofdstuk 6. Markten	Domein D (eco) Markt	2	toets	0
3A	EC	3	4	"Hoofdstuk 4. Een eigen bedrijf; Hoofdstuk 5. De financiële administratie"	"Domein B (beco) Van persoon tot rechtspersoon; Domein F (beco) Financieel beleid"	1	PO	0
3A	EC	4	3	"Hoofdstuk 4. Een eigen bedrijf; Hoofdstuk 5. De financiële administratie"	"Domein B (beco) Van persoon naar rechtspersoon; Domein F (beco) Financieel beleid"	2	toets	0
3A	EC	5	4	"Hoofdstuk 3. Sparen en lenen; Hoofdstuk 8. Financiële zelfredzaamheid"	"Domein B (beco) Van persoon naar rechtspersoon; Domein E (eco) Ruilen over tijd; Domein G (eco) Risico en informatie"	2	toets	0
3A	EC	6	0	0	0	0	0	0
3H	EC	1	1	"Hoofdstuk 1. Begroten voor iedereen; Hoofdstuk 2. De verdeling van het inkomen"	"Domein E (eco) Ruilen over tijd; Domein H (eco) Welvaart en groei"	2	toets	0
3H	EC	2	2	Hoofdstuk 6. Markten	Domein D (eco) Markt	2	toets	0
3H	EC	3	4	"Hoofdstuk 4. Een eigen bedrijf; Hoofdstuk 5. De financiële administratie"	"Domein B (beco) Van persoon tot rechtspersoon; Domein F (beco) Financieel beleid"	1	PO	0
3H	EC	4	3	"Hoofdstuk 4. Een eigen bedrijf; Hoofdstuk 5. De financiële administratie"	"Domein B (beco) Van persoon naar rechtspersoon; Domein F (beco) Financieel beleid"	2	toets	0
3H	EC	5	4	"Hoofdstuk 3. Sparen en lenen; Hoofdstuk 8. Financiële zelfredzaamheid"	"Domein B (beco) Van persoon naar rechtspersoon; Domein E (eco) Ruilen over tijd; Domein G (eco) Risico en informatie"	2	toets	0
3H	EC	6	0	0	0	0	0	0
3M	EC	1	1	Hoofdstuk 1 Hoe groot is jouw welvaart?	"EC/K/3(6); EC/K/4a(1,2,3,6,7,8,9) EC/V/1(5)"	1	toets	0
3M	EC	2	1	Hoofdstuk 2 Wat voor consument ben jij?	"EC/k/4a(2,3); EC/K/4b(6,7); EC/K/8(1,2) EC/K/6(2)"	1	toets	0
3M	EC	3	2	Hoofdstuk 3 De bank en jouw geld Hoofdstuk 4 Ben je verzekerd?	EC/K/4a(1,4,5,6) EC/K/4b(2,3,4,5)	1	toets	0
3M	EC	4	3	Hoofdstuk 5 Werkt dat zo?	"EC/K/5a(1,2,3,4,5) EC/K/5b(1); EC/K/6(1)"	1	toets	0
3M	EC	5	3	Hoofdstuk 6 Productie en markt	"EC/K/5a(1,2,6); EC/K/6(2)"	1	toets	0
3M	EC	6	4	Hoofdstuk 7 De overheid voor ons allemaal                                        Hoofdstuk 8 Over economische grenzen	EC/K/6 (1,2,3) EC/V1(1)EC/K/7(1,2,3a,3b,4,5) 	1	toets	0
1A	EN	1	1	Toets unit 1.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
1A	EN	2	2	Toets unit 2.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
1A	EN	3	3	Toets unit 3. Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
1A	EN	4	4	Toets unit 4. Onderdelen vocab, grammar, reading and writing	A, D	2	toets	0
1A	EN	5	4	Spreekvaardigheid. Cijfer wordt vastgesteld aan de hand van spreekopdrachten (one minute of fame)in de reguliere les gedurende het jaar.	C	2	Mondeling	0
1A	EN	6	0	0	0	0	0	0
1HA	EN	1	1	Toets unit 1.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
1HA	EN	2	2	Toets unit 2.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
1HA	EN	3	3	Toets unit 3. Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
1HA	EN	4	4	Toets unit 4. Onderdelen vocab, grammar, reading and writing	A, D	2	toets	0
1HA	EN	5	4	Spreekvaardigheid. Cijfer wordt vastgesteld aan de hand van spreekopdrachten (one minute of fame)in de reguliere les gedurende het jaar.	C	2	Mondeling	0
1HA	EN	6	0	0	0	0	0	0
1MH	EN	1	1	Toets unit 1.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
1MH	EN	2	2	Toets unit 2.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
1MH	EN	3	3	Toets unit 3. Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
1MH	EN	4	4	Toets unit 4. Onderdelen vocab, grammar, reading and writing	A, D	2	toets	0
1MH	EN	5	4	Spreekvaardigheid. Cijfer wordt vastgesteld aan de hand van spreekopdrachten (one minute of fame)in de reguliere les gedurende het jaar.	C	2	Mondeling	0
1MH	EN	6	0	0	0	0	0	0
2A	EN	1	1	Toets unit 1.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
2A	EN	2	2	Toets unit 2.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
2A	EN	3	3	Toets unit 3. Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
2A	EN	4	4	Toets unit 4. Onderdelen vocab, grammar, reading and writing	A, D	2	toets	0
2A	EN	5	4	Spreekvaardigheid. Cijfer wordt vastgesteld aan de hand van spreekopdrachten (one minute of fame)in de reguliere les gedurende het jaar.	C	2	Mondeling	0
2A	EN	6	0	0	0	0	0	0
2H	EN	1	1	Toets unit 1.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
2H	EN	2	2	Toets unit 2.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
2H	EN	3	3	Toets unit 3. Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
2H	EN	4	4	Toets unit 4. Onderdelen vocab, grammar, reading and writing	A, D	2	toets	0
2H	EN	5	4	Spreekvaardigheid. Cijfer wordt vastgesteld aan de hand van spreekopdrachten (one minute of fame)in de reguliere les gedurende het jaar.	C	2	Mondeling	0
2H	EN	6	0	0	0	0	0	0
2M	EN	1	1	Toets unit 1.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
2M	EN	2	2	Toets unit 2.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
2M	EN	3	3	Toets unit 3. Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
2M	EN	4	4	Toets unit 4. Onderdelen vocab, grammar, reading and writing	A, D	2	toets	0
2M	EN	5	4	Spreekvaardigheid. Cijfer wordt vastgesteld aan de hand van spreekopdrachten (one minute of fame)in de reguliere les gedurende het jaar.	C	2	Mondeling	0
2M	EN	6	0	0	0	0	0	0
3A	EN	1	1	Toets unit 1.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
3A	EN	2	2	Toets unit 2.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
3A	EN	3	3	Toets unit 3. Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
3A	EN	4	4	Toets unit 4. Onderdelen vocab, grammar, reading and writing	A, D	2	toets	0
3A	EN	5	4	Spreekvaardigheid. Cijfer wordt vastgesteld aan de hand van spreekopdrachten (one minute of fame)in de reguliere les gedurende het jaar.	C	2	Mondeling	0
3A	EN	6	0	0	0	0	0	0
3H	EN	1	1	Toets unit 1.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
3H	EN	2	2	Toets unit 2.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
3H	EN	3	3	Toets unit 3. Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
3H	EN	4	4	Toets unit 4. Onderdelen vocab, grammar, reading and writing	A, D	2	toets	0
3H	EN	5	4	Spreekvaardigheid. Cijfer wordt vastgesteld aan de hand van spreekopdrachten (one minute of fame)in de reguliere les gedurende het jaar.	C	2	Mondeling	0
3H	EN	6	0	0	0	0	0	0
3M	EN	1	1	Toets unit 1.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
3M	EN	2	2	Toets unit 2.  Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
3M	EN	3	3	Toets unit 3. Onderdelen: vocab, grammar, reading and writing	A, D	2	toets	0
3M	EN	4	4	Toets unit 4. Onderdelen vocab, grammar, reading and writing	A, D	2	toets	0
3M	EN	5	4	Spreekvaardigheid. Cijfer wordt vastgesteld aan de hand van spreekopdrachten (one minute of fame)in de reguliere les gedurende het jaar.	C	2	Mondeling	0
3M	EN	6	0	0	0	0	0	0
1A	FA	1	1	hoofdstuk 1	B 11 -18	2	toets	0
1A	FA	2	2	hoofdstuk 2	B 11 -18	2	toets	0
1A	FA	3	2	hoofdstuk 3	B 11-18	2	toets	0
1A	FA	4	3	hoofdstuk 5	B 11-18	2	toets	0
1A	FA	5	4	hoofdstuk 6	B 11-18	2	toets	0
1A	FA	6	4	vaardigheden opdracht	B 11-18	2	PO	0
1HA	FA	1	1	hoofdstuk 1	b11-18	2	toets	0
1HA	FA	2	2	hoofdstuk 2	b11-18	2	toets	0
1HA	FA	3	2	hoofdstuk 3	b11-18	2	toets	0
1HA	FA	4	3	hoofdstuk 5	b11-18	2	toets	0
1HA	FA	5	4	hoofdstuk 6	b11-18	2	toets	0
1HA	FA	6	4	vaardigheden opdracht	b11-18	2	PO	0
1MH	FA	1	1	hoofdstuk 1	b11-18	2	toets	0
1MH	FA	2	2	hoofdstuk 2	b11-18	2	toets	0
1MH	FA	3	2	hoofdstuk 3	b11-18	2	toets	0
1MH	FA	4	3	hoofdstuk 5	b11-18	2	toets	0
1MH	FA	5	4	hoofdstuk 6	b11-18	2	toets	0
1MH	FA	6	4	vaardigheden opdracht	b11-18	2	PO	0
2A	FA	1	1	hoofdstuk 1	b11-18	2	toets	0
2A	FA	2	1	hoofdstuk 2	b11-18	2	toets	0
2A	FA	3	2	hoofdstuk 3	b11-18	2	toets	0
2A	FA	4	3	hoofdstuk 6	b11-18	2	toets	0
2A	FA	5	4	hoofdstuk 7	b11-18	2	toets	0
2A	FA	6	4	vaardigheden opdracht	b11-18	2	PO	0
2H	FA	1	1	Hoofdstuk 1	B11-18	2	toets	0
2H	FA	2	1	Hoofdstuk 2	B11-18	2	toets	0
2H	FA	3	2	Hoofdstuk 3	B11-18	2	toets	0
2H	FA	4	3	Hoofdstuk 6	B11-18	2	toets	0
2H	FA	5	4	Hoofdstuk 7	B11-18	2	toets	0
2H	FA	6	4	vaardigheden toets	B11-18	2	PO	0
2M	FA	1	1	0	0	0	0	0
2M	FA	2	0	0	0	0	0	0
2M	FA	3	0	0	0	0	0	0
2M	FA	4	0	0	0	0	0	0
2M	FA	5	0	0	0	0	0	0
2M	FA	6	0	0	0	0	0	0
3A	FA	1	1	Hoofdstuk 1	B11-18	2	toets	0
3A	FA	2	2	Hoofdstuk 2	B11-18	2	toets	0
3A	FA	3	2	Taaldorp/mondeling	B11-18	2	po	0
3A	FA	4	3	Hoofdstuk 3	B11-18	2	toets	0
3A	FA	5	4	Hoofdstuk 5	B11-18	2	toets	0
3A	FA	6	4	Praktische opdracht over hfst 6 in film vorm	B11-18	2	po	0
3H	FA	1	1	Hoofdstuk 1	B11-18	2	toets	0
3H	FA	2	2	Hoofdstuk 2	B11-18	2	toets	0
3H	FA	3	2	Taaldorp/mondeling	B11-18	2	po	0
3H	FA	4	3	Hoofdstuk 3	B11-18	2	toets	0
3H	FA	5	4	Hoofdstuk 5	B11-18	2	toets	0
3H	FA	6	4	Praktische opdracht over hfst 6 in film vorm	B11-18	2	po	0
3M	FA	1	1	0	0	0	0	0
3M	FA	2	0	0	0	0	0	0
3M	FA	3	0	0	0	0	0	0
3M	FA	4	0	0	0	0	0	0
3M	FA	5	0	0	0	0	0	0
3M	FA	6	0	0	0	0	0	0
1A	GDL	1	1	"Hoofdstuk 1; ' Thuis' "	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1A	GDL	2	2	Hoofdstuk 2: ' Helpen' 	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1A	GDL	3	3	Hoofdstuk 3: ' Nieuw begin' 	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1A	GDL	4	4	Hoofdstuk 4: ' Op weg' 	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1A	GDL	5	0	0	0	0	0	0
1A	GDL	6	0	0	0	0	0	0
1HA	GDL	1	1	Hoofdstuk 1:' Thuis' 	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1HA	GDL	2	2	Hoofdstuk 2:' Helpen' 	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1HA	GDL	3	3	Hoofdstuk 3: ' Nieuw begin' 	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1HA	GDL	4	4	Hoofdstuk 4: ' Op weg' 	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1HA	GDL	5	0	0	0	0	0	0
1HA	GDL	6	0	0	0	0	0	0
1MH	GDL	1	1	Hoofdstuk 1 : 'Thuis'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1MH	GDL	2	2	Hoofdstuk  2:' Helpen'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1MH	GDL	3	3	Hoofdstuk 3: 'Nieuw begin	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1MH	GDL	4	4	Hoofstuk 4: 'Op weg'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
1MH	GDL	5	0	0	0	0	0	0
1MH	GDL	6	0	0	0	0	0	0
2A	GDL	1	1	Hoofdstuk 5 : 'Anders'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2A	GDL	2	2	Hoofdstuk  6:' Verzet'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2A	GDL	3	3	Hoofdstuk 7: 'Goed fout'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2A	GDL	4	4	Hoofstuk 8: 'Groeien'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2A	GDL	5	0	0	0	0	0	0
2A	GDL	6	0	0	0	0	0	0
2H	GDL	1	1	Hoofdstuk 5 : 'Anders'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2H	GDL	2	2	Hoofdstuk  6:' Verzet'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2H	GDL	3	3	Hoofdstuk 7: 'Goed fout'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2H	GDL	4	4	Hoofstuk 8: 'Groeien'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2H	GDL	5	0	0	0	0	0	0
2H	GDL	6	0	0	0	0	0	0
2M	GDL	1	1	Hoofdstuk 5 : 'Anders'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2M	GDL	2	2	Hoofdstuk  6:' Verzet'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2M	GDL	3	3	Hoofdstuk 7: 'Goed fout'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2M	GDL	4	4	Hoofstuk 8: 'Groeien'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
2M	GDL	5	0	0	0	0	0	0
2M	GDL	6	0	0	0	0	0	0
3A	GDL	1	1	Hoofdstuk 9: 'Toekomst'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
3A	GDL	2	2	Hoofdstuk 10:'Bezinning	leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
3A	GDL	3	3	Hoofdstuk 11:'Dood gewoon'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
3A	GDL	4	4	Hoofdstuk 12:'Doorgeven'	Leerlingcompetenties zoals omschreven in het werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
3A	GDL	5	0	0	0	0	0	0
3A	GDL	6	0	0	0	0	0	0
3H	GDL	1	1	Hoofstuk 9:'Toekomst'	Leerlingcompetenties zoals omschreven in werkplan en verschillende mondelinge en schriftelijke vaardigheden	1	PO	0
3H	GDL	2	2	Hoofdstuk 10: 'Bezinning'	Leerlingcompetenties zoals omschreven in werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
3H	GDL	3	3	Hoofdstuk 11:'Doodgewoon'	Leerlingcompetenties zoals omschreven in werkplan en verschillende mondelinge en schriftelijke vaardigheden	1	PO	0
3H	GDL	4	4	Hoofdstuk 12:'Doorgeven'	Leerlingcompetenties zoals omschreven in werkplan en verschillende mondelinge en schriftelijke vaardigheden	1	PO	0
3H	GDL	5	0	0	0	0	0	0
3H	GDL	6	0	0	0	0	0	0
3M	GDL	1	1	Hoofdstuk 9:'Je lijf, je leven'	Leerlingcompetenties zoals omschreven in werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
3M	GDL	2	2	Hoofdstuk 10:'Relaties	Leerlingcompetenties zoals omschreven in werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
3M	GDL	3	3	Hoofdstuk 11:'Agressie	Leerlingcompetenties zoals omschreven in werkplan en verschillende mondelinge en schriftelijke vaardigheden.	2	PO	0
3M	GDL	4	4	Hoofdstuk 13:'Toekomst'	Leerlingcompetenties zoals omschreven in werkplan en verschillende mondelinge en schriftelijke vaardigheden.	1	PO	0
3M	GDL	5	0	0	0	0	0	0
3M	GDL	6	0	0	0	0	0	0
1A	GS	1	1	Hoofdstuk 1 - prehistorie 	Kerndoelen: 37, 40 	2	toets	0
1A	GS	2	2	Hoofdstuk 2 - Grieken 	Kerndoelen: 37, 40 	3	toets	0
1A	GS	3	2	Hoofdstuk 3 - Romeinen 	Kerndoelen: 37, 40	2	PO	0
1A	GS	4	3	Hoofdstuk 4 - Vroege Middeleeuwen 	Kerndoelen: 37, 40, 43	3	toets	0
1A	GS	5	4	Hoofdstuk 5 - Late Middeleeuwen 	Kerndoelen: 37, 40	2	PO	0
1A	GS	6	4	Overzichtstoets 	Kerndoelen: 37, 40 	3	toets	0
1HA	GS	1	1	Hoofdstuk 1 - prehistorie 	Kerndoelen 37 en 40 	2	toets	0
1HA	GS	2	2	Hoofdstuk 2 - Grieken 	Kerndoelen 37, 40 en 44	3	toets	0
1HA	GS	3	2	Hoofdstuk 3 - Romeinen 	Kerndoelen 37 en 40 	2	PO	0
1HA	GS	4	3	Hoofdstuk 4 - Vroege Middeleeuwen 	Kerndoelen 37, 40 en 43	3	toets	0
1HA	GS	5	4	Hoofdstuk 5 - Late Middeleeuwen 	Kerndoelen 37 en 40 	2	PO	0
1HA	GS	6	4	Overzichtstoets 	Kerndoelen 37 en 40 	3	toets	0
1MH	GS	1	1	Hoofdstuk 1- prehistorie 	Kerndoelen 37 en 40 	2	toets	0
1MH	GS	2	2	Hoofdstuk 2 - Grieken 	Kerndoelen 37, 40 en 44	3	toets	0
1MH	GS	3	2	Hoofdstuk 3 - Romeinen 	Kerndoelen 37 en 40 	2	PO	0
1MH	GS	4	3	Hoofdstuk 4 - Vroege Middeleeuwen 	Kerndoelen 37, 40 en 43	3	toets	0
1MH	GS	5	4	Hoofdstuk 5 - Late Middeleeuwen 	Kerndoelen 37 en 40 	2	PO	0
1MH	GS	6	4	Overzichtstoets 	Kerndoelen 37 en 40 	3	toets	0
2A	GS	1	1	      Hoofdstuk 1 - Ontdekkingsreizen	Kerndoel: 37, 40, 46, 47	3	toets	0
2A	GS	2	2	Hoofdstuk 2 - Reformatie	Kerndoel: 37, 40, 43	2	PO	0
2A	GS	3	2	Hoofdstuk 2 - De Opstand	Kerndoel: 37, 40, 44	3	toets	0
2A	GS	4	3	Hoofdstuk 3 - Republiek	Kerndoel: 37, 40, 44	3	toets	0
2A	GS	5	3	Hoofdstuk 4 - Verlichting en Revolutie	Kerndoel: 36, 37, 40, 44	3	toets	0
2A	GS	6	4	Hoofdstuk  6 -Amerika	Kerndoel: 36, 37, 40, 46, 47	2	PO	0
2H	GS	1	1	                     Hoofdstuk 1 	Kerndoelen: 37, 40 	3	toets	0
2H	GS	2	1	Hoofdstuk 2 	Kerndoelen: 37, 40 	2	PO	0
2H	GS	3	2	Hoofdstuk 2 en 3	Kerndoelen: 37, 40, 44, 46 	3	toets	0
2H	GS	4	3	Hoofdstuk 4	Kerndoelen: 37, 40 	3	toets	0
2H	GS	5	4	Hoofdstuk 6	Kerndoelen: 36, 37, 38, 39, 40 	2	PO	0
2H	GS	6	4	Hoofdstuk 6	Kerndoelen: 37, 40 	3	toets	0
2M	GS	1	1	                   Gouden Eeuw	Kerndoelen: 37, 40, 46	3	toets	0
2M	GS	2	1	Gouden Eeuw - Slavernijverleden	Kerndoelen: 36, 37, 38, 40, 46, 47	2	PO	0
2M	GS	3	2	Verlichting / Franse Revolutie	Kerndoelen: 37, 38, 40, 46	3	toets	0
2M	GS	4	3	Eerste Wereldoorlog	Kerndoelen: 37, 40, 45, 47	3	toets	0
2M	GS	5	4	Tweede Wereldoorlog A	Kerndoelen: 37, 40, 45, 47	3	PO	0
2M	GS	6	4	Tweede Wereldoorlog B	Kerndoelen: 37, 40, 45, 47	2	Toets	0
3A	GS	1	1	H1 en H2 Politieke geschiedenis NL 	Kerndoelen: 37, 38	3	toets	0
3A	GS	2	1	H3 Eerste Wereldoorlog 	Kerndoelen: 37, 38, 40, 42, 43, 44, 46, 47	3	toets	0
3A	GS	3	2	H4 en H5 Interbellum, Sovjet-Unie en Verenigde Staten	Kerndoelen: 37, 38, 39, 40, 41 	2	PO	0
3A	GS	4	3	H6 Tweede Wereldoorlog 	kerndoelen: 37, 38, 42, 43, 44, 46, 47	3	toets	0
3A	GS	5	4	H7 Koude Oorlog 	Kerndoelen: 37, 38	3	toets	0
3A	GS	6	4	Overzichtstoets 	Kerndoelen: 37, 38	3	toets	0
3H	GS	1	1	H1 en H2 Politieke geschiedenis NL 	Kerndoelen 37 en 38	3	toets	0
3H	GS	2	1	H3 Eerste Wereldoorlog 	Kerndoelen: 37, 38, 40, 42, 43, 44, 46, 47	3	toets	0
3H	GS	3	2	H4 en H5 Interbellum, Sovjet-Unie en Verenigde Staten	Kerndoelen: 37, 38, 39, 40, 41 	3	toets	0
